card_id,source_author,source_title,source_url,source_date,collected_date,core_claim,mechanism,evidence_summary,fact_vs_opinion,counterexample_boundary,china_context,verification_status,category,status,used_article_id,notes
CARD-011,Sahil Bloom,The 5 Types of Wealth - My First Book!,https://www.sahilbloom.com/newsletter/the-5-types-of-wealth---my-first-book,2024-07-17,2026-08-31,时间关系身心和成长应与财务一起进入生活账本。 ,人会按被衡量的东西分配注意力；多维度能暴露被忽略的代价。 ,原文提出五类财富及配套问题背景和行动框架。 ,标题作者日期和五类框架已核对；分类是作者生活框架。 ,多维评估不能变成新绩效焦虑也不能掩盖现金流危机。 ,年末只复盘收入房产却不讨论睡眠和陪伴老人。 ,partial,human_social,unused,,科学依据的具体研究待逐项回溯。
CARD-012,Sahil Bloom,"5 Levels of Financial Wealth, The Extra Mile, & More",https://www.sahilbloom.com/newsletter/5-levels-of-financial-wealth-the-extra-mile-more,2025-02-28,2026-08-31,财务改善会解决一部分问题也会带来新的选择和烦恼。 ,基本需求满足后问题转向选择期待关系和资产管理。 ,原文给出五个财务阶段及收入支出长期积累框架。 ,标题作者日期和阶段框架已核对；阶段结论是作者模型。 ,城市家庭结构和公共服务不同会改变阶段含义。 ,升职后增加学区旅行和车贷承诺仍没有余量。 ,partial,money_life,unused,,财务阶段与投资表述需本地合规来源支持或删除。
CARD-013,Sahil Bloom,5 Ideas That Changed My Life,https://www.sahilbloom.com/newsletter/5-ideas-that-changed-my-life,2025-02-07,2026-08-31,平衡更像人生阶段的整体安排而非每日五五开。 ,高投入周期会让单日平衡考核制造挫败。 ,原文提出以季节理解工作健康关系和时间的取舍。 ,标题作者日期和观点已核对；适合阶段平衡是作者建议。 ,长期失眠关系失联和无休止加班不能被阶段性合理化。 ,家庭在备考或老人手术期约定暂时倾斜及恢复日期。 ,partial,family_relationships,unused,,不同工时对健康关系的影响待独立核验。
CARD-014,Sahil Bloom,The Hidden Debt of Convenience,https://www.sahilbloom.com/newsletter/the-hidden-debt-of-convenience,2026-08-26,2026-08-31,过度回避摩擦可能削弱适应力和对真实生活的感受。 ,持续绕开不便减少耐心协作和解决小问题的练习。 ,原文从交通家务和服务中断等便利现象展开。 ,标题作者日期和主题已核对；便利债务是作者比喻框架。 ,便利服务能减轻照护者残障人士和高负荷家庭压力。 ,完全依赖外卖配送的家庭遇延迟就手忙脚乱。 ,partial,human_social,unused,,名人访谈资产数字及便利与韧性关系待核验。
CARD-015,Sahil Bloom,The Focusing Illusion: A Science-Backed Life Trap,https://www.sahilbloom.com/newsletter/the-focusing-illusion-a-science-backed-life-trap,2026-08-28,2026-08-31,人会放大显眼条件而低估普通日子的隐性因素。 ,注意力抓住易见易比特征；长期体验却由日常细节构成。 ,原文讨论气候比较大学住房研究和普通周二提问。 ,标题作者日期和研究引用已核对；研究结论需回查原论文。 ,住房安全收入医疗等显性因素本就可能决定生活质量。 ,求职者只看薪资忽略两小时通勤和支持网络。 ,partial,career_wealth,unused,,1998和2003年研究的样本设计结论待核验。
CARD-016,Sahil Bloom,How to Measure Your Life,https://www.sahilbloom.com/newsletter/how-to-measure-your-life,2024-11-26,2026-08-31,测量什么会影响人把时间投向哪里。 ,指标塑造注意力和行动；多项维度让取舍被看见。 ,原文展示包含五项维度的自评问卷和评分方式。 ,标题作者日期和问卷结构已核对；问卷效果未作为事实采纳。 ,自评表可能把复杂生活再度量化；危机时先处理急迫问题。 ,夫妻每月除收支外讨论睡眠亲子和父母联系的变化。 ,partial,family_relationships,unused,,问卷耗时评分上限和实际改善效果待核验。
CARD-017,Sahil Bloom,Relationship Advice from 500 Years,https://www.sahilbloom.com/newsletter/relationship-advice-from-500-years,2023-12-20,2026-08-31,长期关系依赖日常回应和及时沟通。 ,照料共同活动和难题沟通积累信任；拖延把问题变距离。 ,作者访谈多对长期婚姻伴侣并汇总建议。 ,标题作者日期访谈提问和500+年说法已核对；样本不具代表性。 ,暴力控制和持续伤害应优先保障安全和寻求专业支持。 ,夫妻总把十分钟不看手机的交谈推迟。 ,partial,family_relationships,unused,,受访人数婚龄累计和收集方法以及中国支持资源待核验。
CARD-018,Sahil Bloom,7 Lessons From My Father’s 70 Years,https://www.sahilbloom.com/newsletter/7-lessons-from-my-fathers-70-years,2025-10-15,2026-08-31,健康支持是期待与支持同时到位。 ,期待提供方向和信任；支持提供资源和陪伴。 ,原文以作者父亲参与和反馈的个人经历说明框架。 ,标题作者日期与个人叙述已核对；关系效果是作者归纳。 ,支持须尊重成年子女选择；高期待可能越界。 ,父母希望女儿备考时商量时间学费和家务分担。 ,partial,family_relationships,unused,,个人经历无法独立验证；亲子研究待补。
CARD-019,Sahil Bloom,The Grow30 Challenge,https://www.sahilbloom.com/newsletter/grow30challenge,2024-12-20,2026-08-31,小而固定的日常动作能让多维生活失衡更可见。 ,重复动作降低启动成本；同时覆盖多维避免单一目标吞噬精力。 ,原文设计30天专注联系书写运动和学习任务。 ,标题作者日期和清单已核对；显著进步的宣称未验证。 ,固定五项会给照护者和高压劳动者增加负担。 ,晚归上班族只做十分钟散步一条语音和一条记录。 ,partial,human_social,unused,,任务时长与习惯健康效果待独立研究核验。
CARD-020,Sahil Bloom,The Hidden Debts of Life,https://www.sahilbloom.com/newsletter/the-hidden-debts-of-life,2025-04-08,2026-08-31,短期舒服的选择可能把成本推迟到未来。 ,即时收益降低行动意愿；长期成本被延后分散或不可见。 ,原文把饮食运动和工作拖延类比为会累积后果的债务。 ,标题作者日期和类比框架已核对；行为影响不能据此文章确定。 ,休息享受和求助不等于欠债；疲惫者先恢复资源。 ,票据体检预约和老人照护沟通被推迟到问题集中爆发。 ,partial,human_social,unused,,健康和心理后果需按专业来源核验不得直接发布。
